address,full_address,HDB_latitude,HDB_longitude,Nearest_MRT_ID,Nearest_MRT,MRT_latitude,MRT_longitude,Nearest_bus_stop_ID,Nearest_bus_stop,bus_stop_latitude,bus_stop_longitude,Distance_m_Nearest_MRT,Distance_m_Nearest_bus_stop
207A PUNGGOL PL,207A PUNGGOL PLACE PUNGGOL SAILS SINGAPORE 821207,1.400286679,103.9010124,NE17,PUNGGOL MRT STATION,1.404287566,103.9019468,65341,OPP BLK 272C,1.40194694,103.900923,454.4545494,183.8524069
572A WOODLANDS AVE 1,572A WOODLANDS AVENUE 1 CHAMPIONS COURT SINGAPORE 731572,1.430866875,103.7895547,TE2,WOODLANDS MRT STATION,1.436032112,103.7880109,46979,OPP BLK 507,1.43130555,103.7906544,596.4255744,131.6467254
372 JURONG EAST ST 32,372 JURONG EAST STREET 32 JURONG EAST COURT SINGAPORE 600372,1.348658234,103.7317895,EW25,CHINESE GARDEN MRT STATION,1.342244948,103.7327666,28471,OPP BLK 311,1.34811145,103.7322464,717.4370494,78.99993246
180A BOON LAY DR,180A BOON LAY DRIVE BOON LAY MEADOW SINGAPORE 641180,1.347617698,103.7086439,EW27,BOON LAY MRT STATION,1.338642112,103.7061638,21421,BLK 176,1.34720307,103.710326,1030.138784,192.7262379
622C PUNGGOL CTRL,622C PUNGGOL CENTRAL PCF SPARKLETOTS PRESCHOOL @ PUNGGOL NORTH 622C (CC) SINGAPORE 823622,1.400662015,103.9109144,PE6,OASIS LRT STATION,1.402264595,103.9127074,65271,OPP BLK 188,1.39995544,103.9106429,266.8642153,83.76905038
207B PUNGGOL PL,207B PUNGGOL PLACE PUNGGOL SAILS SINGAPORE 822207,1.400325589,103.9007353,NE17,PUNGGOL MRT STATION,1.404287566,103.9019468,65341,OPP BLK 272C,1.40194694,103.900923,458.3720277,180.4940863
450A SENGKANG WEST WAY,450A SENGKANG WEST WAY FERNVALE CREST SINGAPORE 791450,1.394468148,103.8735067,SW4,THANGGAM LRT STATION,1.397246572,103.8756254,67579,BEF JLN KAYU,1.39483619,103.8734686,387.2728774,40.91615581
499B TAMPINES AVE 9,499B TAMPINES AVENUE 9 TAMPINES RIA SINGAPORE 522499,1.358870205,103.9563317,DT33,TAMPINES EAST MRT STATION,1.356107967,103.954784,76341,BLK 464,1.35976305,103.9553501,350.6523281,147.2459436
180B BOON LAY DR,180B BOON LAY DRIVE BOON LAY MEADOW SINGAPORE 642180,1.347835999,103.7090708,EW27,BOON LAY MRT STATION,1.338642112,103.7061638,21421,BLK 176,1.34720307,103.710326,1066.848411,156.2361836
207C PUNGGOL PL,207C PUNGGOL PLACE PUNGGOL SAILS SINGAPORE 823207,1.400653675,103.9003487,NE17,PUNGGOL MRT STATION,1.404287566,103.9019468,65341,OPP BLK 272C,1.40194694,103.900923,439.4161951,156.6367079
272D PUNGGOL WALK,272D PUNGGOL WALK PUNGGOL RESIDENCES SINGAPORE 824272,1.402733475,103.9004635,NE17,PUNGGOL MRT STATION,1.404287566,103.9019468,65349,BLK 272C,1.40222089,103.9007796,238.2826669,66.70993386
180C BOON LAY DR,180C BOON LAY DRIVE BOON LAY MEADOW SINGAPORE 643180,1.348429168,103.7087206,EW27,BOON LAY MRT STATION,1.338642112,103.7061638,21389,OPP ST. JOSEPH'S HME,1.3495144,103.7089646,1118.985136,123.032199
208B PUNGGOL PL,208B PUNGGOL PLACE MY FIRST SKOOL SINGAPORE 822208,1.401361539,103.9011272,NE17,PUNGGOL MRT STATION,1.404287566,103.9019468,65341,OPP BLK 272C,1.40194694,103.900923,336.1559982,68.60225921
211B PUNGGOL WALK,211B PUNGGOL WALK PUNGGOL RIPPLES SINGAPORE 822211,1.401169895,103.8999209,NE17,PUNGGOL MRT STATION,1.404287566,103.9019468,65341,OPP BLK 272C,1.40194694,103.900923,411.9139186,140.7844712
170A PUNGGOL FIELD,170A PUNGGOL FIELD THE NAUTILUS @ PUNGGOL SINGAPORE 821170,1.393560948,103.9148607,PE4,RIVIERA LRT STATION,1.394487711,103.9161474,65231,RIVIERA STN EXIT B,1.39428247,103.9157653,176.0841536,128.451867
207D PUNGGOL PL,207D PUNGGOL PLACE PUNGGOL SAILS SINGAPORE 824207,1.400946529,103.9007084,NE17,PUNGGOL MRT STATION,1.404287566,103.9019468,65341,OPP BLK 272C,1.40194694,103.900923,394.3041083,113.1699409
987A BUANGKOK GREEN,987A BUANGKOK GREEN BUANGKOK VALE SINGAPORE 531987,1.379887784,103.8783849,SW7,TONGKANG LRT STATION,1.389262584,103.8858115,66481,OPP BLK 968,1.37918666,103.8783096,1325.76576,77.97807384
